fileName,trnscrpt
Lab41-SRI-VOiCES-rm1-babb-sp8118-ch114476-sg0027-mc03-stu-mid-dg090, here was a full half day for the army of the potomac enough in which to destroy a divided portion of the army of northern virginia but colonel winchester raged again and again in vain there was no attack brigade after brigade in blue came up and sat down before the antietam
Lab41-SRI-VOiCES-rm1-musi-sp1961-ch149739-sg0028-mc03-stu-mid-dg090, why of course exclaimed the angel haven't you come to my party didn't you get my invitation i sent you one by mail asked freckles yes said the angel i had to help with the preparations and i couldn't find time to drive out but i wrote you a letter
Lab41-SRI-VOiCES-rm2-none-sp1112-ch128136-sg0019-mc01-stu-clo-dg090, are excessively tedious but when mister rodd leaves the problem of the unconditioned to take care of itself and makes no attempt to solve the mysteries of the ego and the non ego he is very pleasant reading indeed
Lab41-SRI-VOiCES-rm2-musi-sp1867-ch148436-sg0037-mc07-stu-beh-dg090, aw twenty five dollars is enough says pa all right says the tenderfoot here's the money and he counts it out in pa's hand he says what a little beauty it would be a treat to see him work on a polo field pa says
Lab41-SRI-VOiCES-rm1-babb-sp4116-ch013265-sg0006-mc03-stu-mid-dg090, you are always doing some queer thing or other felicia said the older girl as the carriage whirled on past the great residences already brilliantly lighted am i what have i done that is queer now rose asked the other looking up suddenly and turning her head towards her sister
Lab41-SRI-VOiCES-rm2-tele-sp5401-ch039508-sg0004-mc05-stu-far-dg090, thus next to a dike bituminous coal may be baked to coke or anthracite and chalk and limestone to crystalline marble sandstone may be converted into quartzite and shale into argillite a compact massive clay rock
Lab41-SRI-VOiCES-rm2-none-sp8152-ch258993-sg0005-mc01-stu-clo-dg090, the demand of different families will be for much the same kinds of goods if there were no rich men the demand for vineyards producing fine wines would be less the very best qualities of goods take on the highest prices when there is a small but very wealthy class of purchasers
Lab41-SRI-VOiCES-rm2-none-sp1536-ch138488-sg0025-mc03-stu-mid-dg090, two generations of public men have since laboured with imperfect success to repair the error which was then committed nor is it improbable that some of the penalties of that error may continue to afflict a remote posterity the bill by which the oath was settled passed the upper house without amendment
Lab41-SRI-VOiCES-rm2-babb-sp4590-ch018006-sg0017-mc07-stu-beh-dg090, and which were secured at sundown in a grass hut at one corner of my boma one particularly dark night we were startled by a tremendous commotion in this shed but as this was before the man eaters were killed no one dared stir out to investigate the cause of the disturbance
Lab41-SRI-VOiCES-rm1-musi-sp3835-ch178029-sg0013-mc01-stu-clo-dg090, go back to the army he said drawing himself up to his full height and addressing michaud with a gracious and majestic gesture and tell our brave men and all my good subjects wherever you go that when i have not a soldier left i shall put myself at the head of my beloved nobility
Lab41-SRI-VOiCES-rm1-none-sp2149-ch008912-sg0023-mc01-stu-clo-dg090, and the child became precious as the apple of my eye to me for she was all i had left to love for her sake entirely i married as second wife a homespun woman who had been kind as a mother to her in due time the question of her education came on and i said
Lab41-SRI-VOiCES-rm1-tele-sp0636-ch128331-sg0015-mc05-stu-far-dg090, with marvellous quickness at a distance the more readily because certain men who had by some wonderful exercise of agility climbed up the external architecture to look in from the windows knew madame defarge well and acted as a telegraph between her and the crowd outside the building
Lab41-SRI-VOiCES-rm1-tele-sp7540-ch101799-sg0005-mc07-stu-beh-dg090, poor soul for i was her only child and being a saint leger took naturally to the sea as a profession that i should do so was indeed so completely a foregone conclusion that i was especially educated for it at greenwich upon leaving which
Lab41-SRI-VOiCES-rm1-musi-sp1963-ch147036-sg0017-mc07-stu-beh-dg090, she got up to her feet unsteadily and swayed toward him in a second he was by her side his arms about her she made no resistance but rather he felt a yielding towards him which he had missed before her pale face was upturned to his and he stooped and kissed her
Lab41-SRI-VOiCES-rm1-babb-sp7995-ch276908-sg0017-mc03-stu-mid-dg090, not of that monster man mister booth i am undone am revenged and have now no more business for life let them take it from me when they will our poor gentleman turned pale with horror at this speech
Lab41-SRI-VOiCES-rm1-babb-sp1536-ch138488-sg0027-mc05-stu-far-dg090, mary being not merely queen consort but also queen regnant was inaugurated in all things like a king was girt with the sword lifted up into the throne and presented with the bible the spurs and the orb of the temporal grandees of the realm and of their wives and daughters
Lab41-SRI-VOiCES-rm2-tele-sp7278-ch104730-sg0039-mc07-stu-beh-dg090, i said that in another part of the capitol it had been threatened that if a northern abolitionist should go to north carolina and utter a principle of the declaration of independence' here a loud cry of order order burst forth in which the speaker yelled the loudest
Lab41-SRI-VOiCES-rm2-none-sp5154-ch026559-sg0003-mc07-stu-beh-dg090, the monkey was playing his guitar
Lab41-SRI-VOiCES-rm2-musi-sp0150-ch126107-sg0026-mc01-stu-clo-dg090, said the princess beyond everything answered he for i have fallen in with the only perfect creature i ever saw no more of that i am tired of it said the princess perhaps she shared her father's aversion to punning
Lab41-SRI-VOiCES-rm2-tele-sp4848-ch028247-sg0038-mc07-stu-beh-dg090, the mineral kingdom reigned supreme captain servadac's deep dejection was in strange contrast to his general hilarity silent and tearful he stood upon an ice bound rock
Lab41-SRI-VOiCES-rm2-tele-sp7247-ch101864-sg0004-mc07-stu-beh-dg090, the farther away they could get from the oil that made the machinery of life run easily and noiselessly the better pleased they were the dining room looked particularly pleasant this july evening a gentle breeze stirred the curtains at the open windows
Lab41-SRI-VOiCES-rm1-none-sp7247-ch101864-sg0009-mc03-stu-mid-dg090, come come ned don't be foolish he protested you know very well that your brother's stepdaughter has been my ward for a dozen years yes but that is all i know rejoined the young man quietly i have never seen her and scarcely ever heard of her
Lab41-SRI-VOiCES-rm2-babb-sp7981-ch112061-sg0012-mc03-stu-mid-dg090, vincent's reception of these proposals was disconcerting god forbid he would cry indignantly better that we should all go without the barest necessities of life some would come with a recommendation from the queen herself which made things doubly embarrassing
Lab41-SRI-VOiCES-rm2-none-sp7498-ch099124-sg0015-mc01-stu-clo-dg090, her eyes were a dark grey her complexion was exquisitely fine and her hands and arms remarkably delicate both as to shape and colour her stature was of an height that rose to the majestic
Lab41-SRI-VOiCES-rm1-tele-sp5386-ch004145-sg0031-mc01-stu-clo-dg090, and must not this conclusion be strengthened when they hear ministers of talent and learning declare that the bible does sanction slaveholding and that it ought not to be made a disciplinable offence in churches and must not all doubt be dissipated when one of the most learned professors in our theological seminaries
Lab41-SRI-VOiCES-rm2-tele-sp0093-ch126208-sg0004-mc01-stu-clo-dg090, its interior was the scene of most of jude's education by private study as soon as the horse had learnt the road and the houses at which he was to pause awhile the boy seated in front would slip the reins over his arm ingeniously fix open
Lab41-SRI-VOiCES-rm2-tele-sp0242-ch122625-sg0004-mc05-stu-far-dg090, conventionality is not morality self righteousness is not religion to attack the first is not to assail the last to pluck the mask from the face of the pharisee is not to lift an impious hand to the crown of thorns
Lab41-SRI-VOiCES-rm2-tele-sp1066-ch005330-sg0004-mc01-stu-clo-dg090, in spite of his smock frock and his straw wisped hat and his false whiskers black as erebus she knew him for her brother oh richard where have you come from what brings you here did you know me barbara was his rejoinder
Lab41-SRI-VOiCES-rm2-musi-sp6965-ch291718-sg0029-mc07-stu-beh-dg090, do you suppose it would do any good to shave the cat all over at this i could not resist the impulse to scream and your mother said i do believe the creature knows whenever we speak about her
Lab41-SRI-VOiCES-rm2-tele-sp0296-ch142727-sg0031-mc03-stu-mid-dg090, these derangements are the basis of emotion its physical basis and to be moved is to perceive them take away from the consciousness this physical reflex and emotion ceases it is no longer anything but an idea
Lab41-SRI-VOiCES-rm2-tele-sp4438-ch052195-sg0014-mc07-stu-beh-dg090, and whether it had filtered down from above and was all right it wouldn't do any harm to try it he decided by the time they had reached the sidewalk and he swung behind ruth and took up his station on the outside then the other problem presented itself
Lab41-SRI-VOiCES-rm1-babb-sp0209-ch004733-sg0027-mc07-stu-beh-dg090, or a kinder sister or a truer friend no no she has qualities which may be trusted she will never lead any one really wrong she will make no lasting blunder where emma errs once she is in the right a hundred times
Lab41-SRI-VOiCES-rm2-tele-sp2294-ch161707-sg0000-mc01-stu-clo-dg090, the tumult of the struggle into which that vision led me still throbs in my mind the soft lisping voices of the planet i ransacked for its sake and the roar of the destruction which followed me back from the quest drowns all other sounds in my ears i must and will write
Lab41-SRI-VOiCES-rm1-tele-sp0949-ch134660-sg0010-mc07-stu-beh-dg090, that the influence of the place and the belief of a perpetual miracle should have produced some salutary effects on the morals as well as on the faith of the people yet the most respectable of the ecclesiastical writers have been obliged to confess
Lab41-SRI-VOiCES-rm2-none-sp5583-ch041919-sg0003-mc07-stu-beh-dg090, we will no more plague ourselves by carrying water every day i will bring the entire spring home at once and so we shall be freed from this burden but the draken called out on no account herr lazarus else we shall all die of thirst
Lab41-SRI-VOiCES-rm2-musi-sp0492-ch131899-sg0001-mc05-stu-far-dg090, blew a gale and retarded the steamer the rangoon rolled heavily and the passengers became impatient of the long monstrous waves which the wind raised before their path
Lab41-SRI-VOiCES-rm1-babb-sp5157-ch047239-sg0031-mc05-stu-far-dg090, that she could utter nothing but tears of joy and tenderness i went to davison yesterday morning and found him still in bed having had a severe fit of the gout and with your letter which he had just received and he cried like a child
Lab41-SRI-VOiCES-rm2-tele-sp2294-ch161714-sg0019-mc07-stu-beh-dg090, this latter was careening over as a dusky group of men lifted aboard to a heap of tumbled silks and stuffs in the stern such a sweet piece of insensible merchandise as no man i at least of all could mistake it was heru herself and the rogues were ladling her on board like so much sandal wood or cotton sheeting
Lab41-SRI-VOiCES-rm2-babb-sp7498-ch099124-sg0015-mc07-stu-beh-dg090, her eyes were a dark grey her complexion was exquisitely fine and her hands and arms remarkably delicate both as to shape and colour her stature was of an height that rose to the majestic
Lab41-SRI-VOiCES-rm1-babb-sp0882-ch123268-sg0033-mc03-stu-mid-dg090, this dense veil hung across the sun threw a deep shadow over the mountain if that huge revolving pillar sloped down it would involve us in its whirling eddies this phenomenon which is not unfrequent when the wind blows from the glaciers is called in icelandic mistour
Lab41-SRI-VOiCES-rm2-musi-sp8118-ch114469-sg0018-mc01-stu-clo-dg090, then the wind shifted and drove the sheets of rain sprinkled with hail directly in his face he was compelled to stop a while and take refuge behind a big oak while he shivered in the shelter of the tree the only things that he thought of spontaneously were dry clothes hot food a fire and a warm bed
Lab41-SRI-VOiCES-rm2-tele-sp4427-ch012471-sg0006-mc07-stu-beh-dg090, and had promised to render the water such as they desired it to be in case they would be subservient to him in what he should enjoin them to do and this not after a remiss or negligent manner and when they asked what they were to do in order to have the water changed for the better
Lab41-SRI-VOiCES-rm1-none-sp1272-ch135031-sg0000-mc03-stu-mid-dg090, because you were sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove
Lab41-SRI-VOiCES-rm1-musi-sp3989-ch182394-sg0019-mc05-stu-far-dg090, way back into the past chug a rum he began a long long time ago when the world was young there was very little dry land and most of the animals lived in the water yes sir most of the animals lived in the water
Lab41-SRI-VOiCES-rm1-none-sp0209-ch004733-sg0027-mc01-stu-clo-dg090, or a kinder sister or a truer friend no no she has qualities which may be trusted she will never lead any one really wrong she will make no lasting blunder where emma errs once she is in the right a hundred times
Lab41-SRI-VOiCES-rm1-babb-sp7868-ch110705-sg0027-mc05-stu-far-dg090, for five minutes without stopping apparently with the view of ascertaining if he were quite correctly put together while gluck stood contemplating him in speechless amazement he was dressed in a stashed doublet of spun gold so fine in its texture
Lab41-SRI-VOiCES-rm1-tele-sp2149-ch007239-sg0026-mc03-stu-mid-dg090, there is laid up for me the crown of righteousness which the lord the righteous judge will give me in that day and not to me only
Lab41-SRI-VOiCES-rm2-babb-sp5583-ch041919-sg0003-mc01-stu-clo-dg090, we will no more plague ourselves by carrying water every day i will bring the entire spring home at once and so we shall be freed from this burden but the draken called out on no account herr lazarus else we shall all die of thirst
Lab41-SRI-VOiCES-rm2-tele-sp2911-ch015084-sg0012-mc05-stu-far-dg090, that providence is clear as the sun at noon meanwhile let those who have prevailed yield due honor to the defeated their virtues shine amidst the rubbish of error like diamonds and gold in the gravel of the torrent
Lab41-SRI-VOiCES-rm2-musi-sp6848-ch252322-sg0006-mc01-stu-clo-dg090, turning as he went to look back towards the bed and evidently going with reluctance is it fever asked the sick man in a faint but unfaltering accent it's a kind of cerebral congestion a matter of them membranes that's over the brain
Lab41-SRI-VOiCES-rm2-tele-sp0254-ch012312-sg0009-mc01-stu-clo-dg090, and now consider i do you exhort in such commotions so continual what rest can take the globe terrestrial most happy then are they that can it hold and use it carefully as precious gold
Lab41-SRI-VOiCES-rm1-none-sp1472-ch285314-sg0013-mc03-stu-mid-dg090, why that settles the question i think money is the keystone to success mister west said louise with dignity we are depending chiefly on the literary merit of our newspaper to win recognition of course of course said he hastily
Lab41-SRI-VOiCES-rm1-babb-sp7867-ch110742-sg0034-mc03-stu-mid-dg090, he went a long voyage he is my kinsman if i could see him he could give me some account of missus rugg sir said missus croft i never heard of john foy where did he live just above here in orange tree lane there is no such place in this neighbourhood
Lab41-SRI-VOiCES-rm2-musi-sp8635-ch295756-sg0019-mc05-stu-far-dg090, the red men cleared a large space and built a fire in the midst of it round which they all sat one of the men then made a grand speech in which he told them how they were to dance when he had done the one who could dance the best sprang up
Lab41-SRI-VOiCES-rm2-babb-sp3972-ch005791-sg0005-mc03-stu-mid-dg090, which would make me revere its possessor were he the lowliest man in your legions allow me noblest of scots to plead one word in vindication of him to whom my allegiance is pledged had he come hither conducted by war alone what would edward have been worse than any other conqueror
Lab41-SRI-VOiCES-rm1-babb-sp2149-ch008912-sg0023-mc07-stu-beh-dg090, and the child became precious as the apple of my eye to me for she was all i had left to love for her sake entirely i married as second wife a homespun woman who had been kind as a mother to her in due time the question of her education came on and i said
Lab41-SRI-VOiCES-rm1-babb-sp8152-ch258974-sg0036-mc05-stu-far-dg090, a word that expresses all that is most characteristic of our complex industrial society the headings just given may serve however to suggest the leading phases of the subject repetition of the same task trains the muscles forms a mental habit
Lab41-SRI-VOiCES-rm1-musi-sp6099-ch230928-sg0009-mc03-stu-mid-dg090, impetuous as usual after a very short acquaintance my mother insisted as a first step to entertaining his suit that he should leave the sea as he had another profession by which he was quite capable of supporting a wife as well as himself
Lab41-SRI-VOiCES-rm2-babb-sp5154-ch026559-sg0003-mc01-stu-clo-dg090, the monkey was playing his guitar
Lab41-SRI-VOiCES-rm2-tele-sp2532-ch157475-sg0012-mc05-stu-far-dg090, raggedy andy tried to wiggle backward up the pipe but his clothes caught upon a little piece of tin which stuck out from the inside of the pipe and there he stayed he could neither go down nor come back up what shall we do uncle clem cried
Lab41-SRI-VOiCES-rm1-tele-sp1160-ch139336-sg0020-mc07-stu-beh-dg090, and the happiness of the governed here then is the origin and rise of government namely a mode rendered necessary by the inability of moral virtue to govern the world here too is the design and end of government viz
Lab41-SRI-VOiCES-rm2-babb-sp3446-ch144021-sg0018-mc03-stu-mid-dg090, mate down with fever ngora ngora sunday march fifteenth nineteen o eight at daybreak found that the boy bagua had died during the night on dysentery he was about fourteen days sick at sunset
Lab41-SRI-VOiCES-rm2-tele-sp5126-ch036956-sg0017-mc01-stu-clo-dg090, toby thought of the six pea nuts which he had bought with the penny uncle daniel had given him and amid all his homesickness he could not help wondering if uncle daniel ever made himself sick with only six pea nuts when he was a boy
Lab41-SRI-VOiCES-rm2-tele-sp5400-ch034478-sg0009-mc01-stu-clo-dg090, i know all about that but really what you're saying either has no meaning or it has a very wrong meaning how can you think it a matter of no importance whether the peasant whom you love as you assert i never did assert it thought konstantin levin dies without help
Lab41-SRI-VOiCES-rm1-musi-sp3994-ch156757-sg0009-mc05-stu-far-dg090, declaring that she hated castle and would not be sorry if something should happen to spoil his fine nose so when he came to us from the sick room soured and crestfallen because disease had deeply pitted and seamed that feature which had formerly been his pride she laughingly whispered
Lab41-SRI-VOiCES-rm2-none-sp8222-ch274380-sg0026-mc05-stu-far-dg090, but though he had usually professed himself apprehensive of a violent death he found all his fears to be dissipated before that superior courage by which he was animated no one said he can be more willing to send me out of life than i am desirous to go
Lab41-SRI-VOiCES-rm1-musi-sp4160-ch011550-sg0037-mc01-stu-clo-dg090, she hoped it might never reach him at all and yet in spite of this she experienced an almost passionately keen sense of disappointment when on the day before their departure lady throckmorton received a letter from him regretting his inability to comply with her request
Lab41-SRI-VOiCES-rm2-babb-sp0208-ch126600-sg0011-mc03-stu-mid-dg090, freddie fisher fairly fussed when he came to eat his crust often on the floor he'd throw it hoping mother wouldn't know it goops all hate to eat the crust if you're told to then you must
Lab41-SRI-VOiCES-rm2-tele-sp3368-ch170951-sg0016-mc01-stu-clo-dg090, now the founders of a state ought to know the general forms in which poets should cast their tales and the limits which must be observed by them but to make the tales is not their business very true he said but what are these forms of theology which you mean something of this kind i replied
Lab41-SRI-VOiCES-rm1-tele-sp0510-ch130560-sg0011-mc07-stu-beh-dg090, and they had nothing to give them in the night dharmu's wife said they promised to pay us for merely looking after the work and instead we worked hard and have still got nothing we will not work for them anymore
Lab41-SRI-VOiCES-rm1-babb-sp0296-ch129659-sg0033-mc07-stu-beh-dg090, both in a transcendental sense abstraction being made of every difference in that which is given and of the mode in which it is determined logicians formerly termed the universal matter the specific difference of this or that part of the universal form
Lab41-SRI-VOiCES-rm1-none-sp5456-ch024741-sg0008-mc07-stu-beh-dg090, corollary the mind is able to regard as present external bodies by which the human body has once been affected even though they be no longer in existence or present
Lab41-SRI-VOiCES-rm2-tele-sp2074-ch149033-sg0020-mc03-stu-mid-dg090, those who read will see how the rooms in hampton court became the compartments in the crystale palace and how the gaierty hotel grew out of the gaiety theatre with many other agreeable changes the novelist will find the tale a model for his future work
Lab41-SRI-VOiCES-rm1-musi-sp6895-ch092806-sg0003-mc01-stu-clo-dg090, supper was cooling on the table its heat went into missus mc caskey at nine mister mc caskey came he carried his coat on his arm and his pipe in his teeth and he apologised for disturbing the boarders on the steps as he selected spots of stone
Lab41-SRI-VOiCES-rm2-babb-sp5126-ch027504-sg0015-mc03-stu-mid-dg090, he'd lost some gold by us in the escort robbery and not forgotten it so it seems he'd been trying his best to fit us ever since just at first he wasn't able for much but later on he managed to get information about us and our beat
Lab41-SRI-VOiCES-rm2-musi-sp7540-ch101262-sg0043-mc07-stu-beh-dg090, you can have which you like give me instead that half starved creature in the corner asked the prince i prefer him to all those beautiful animals you can't really mean what you say replied the woman yes i do said the prince
Lab41-SRI-VOiCES-rm1-none-sp5678-ch043302-sg0036-mc07-stu-beh-dg090, the whole procedure of war was a matter of theory there were no precedents with which to compare it it was as if archers disputed as to the results of cordite only one thing was certain that the east had every modern engine and as regards male population
Lab41-SRI-VOiCES-rm1-none-sp1246-ch124550-sg0011-mc07-stu-beh-dg090, were the members of the tincomb methodist church a vast red brick tabernacle vida sherwin had given her a letter to an earnest woman with eye glasses plaid silk waist and a belief in bible classes who introduced her to the pastor and the
Lab41-SRI-VOiCES-rm1-none-sp5635-ch053458-sg0002-mc07-stu-beh-dg090, yet life had become as tedious to him now as it might be to one who was unable to gratify a single wish finally by chance popopo thought of the earth people who dwell in cities and so he resolved to visit them and see how they lived this would surely be fine amusement
Lab41-SRI-VOiCES-rm1-tele-sp0083-ch003054-sg0005-mc01-stu-clo-dg090, fruit shook off the branches of the tree it grows upon by the motion of the water as those in our gardens are by that of the wind the lobster trees appeared the richest but the crab and oysters were the tallest
Lab41-SRI-VOiCES-rm2-none-sp8118-ch268287-sg0020-mc01-stu-clo-dg090, will no depth of grief no length of time no visitation from him who is over us all ever bend your adamant and implacable will i heard with some surprise his allusion to the great being whom he was not wont to recognise
Lab41-SRI-VOiCES-rm2-none-sp7247-ch077778-sg0034-mc05-stu-far-dg090, to be well shaken before taken will be an effective remedy for a torpid liver and the man or woman who suffers from lassitude will doubtless find in the lively airs of our two step composers an efficient tonic to bring their vitality up to a high standard of activity
Lab41-SRI-VOiCES-rm1-tele-sp3923-ch174992-sg0028-mc03-stu-mid-dg090, we may have traps if we like it lord chiltern certainly only say so and we shall know where we are he looked very angry and poor lady chiltern was covered with dismay the duke can destroy the hunt if he pleases no doubt said the lord but we don't like traps lord chiltern
Lab41-SRI-VOiCES-rm2-musi-sp7517-ch100442-sg0004-mc05-stu-far-dg090, aproned behind the counter look out for the currants in the window as you come in i have an idea for something artistic in the way of patterns there but as you love me do not offer to buy any
Lab41-SRI-VOiCES-rm2-babb-sp1112-ch128136-sg0019-mc07-stu-beh-dg090, are excessively tedious but when mister rodd leaves the problem of the unconditioned to take care of itself and makes no attempt to solve the mysteries of the ego and the non ego he is very pleasant reading indeed
Lab41-SRI-VOiCES-rm2-tele-sp4064-ch077779-sg0032-mc01-stu-clo-dg090, don't ask me laughed the idiot i don't know yet i admire all the candidates personally very much but what are your politics republican or democratic asked the lawyer oh that's different said the idiot
Lab41-SRI-VOiCES-rm1-musi-sp7981-ch112058-sg0014-mc03-stu-mid-dg090, but in the course of their travels it had become painfully apparent that the clergy themselves were in urgent need of some awakening force those of good family led for the most part worldly and frivolous lives while the humbler sort were as ignorant as the peasants among whom they lived
Lab41-SRI-VOiCES-rm1-musi-sp3521-ch012715-sg0017-mc03-stu-mid-dg090, rice bread boil a pint of rice till soft then mix it with a couple of quarts of rice or wheat flour when cool add half a tea cup of yeast a little salt and milk to render it of the consistency of rye bread when light bake it in small buttered pans
Lab41-SRI-VOiCES-rm2-babb-sp4057-ch183239-sg0019-mc05-stu-far-dg090, thereafter you lost the last precious five minutes before parade in efforts with knife blade or clothesbrush to remove from your tunic the smears of pink paste which had failed to repose on the buttons and had stuck to the surrounding cloth instead
Lab41-SRI-VOiCES-rm2-none-sp4590-ch018006-sg0017-mc01-stu-clo-dg090, and which were secured at sundown in a grass hut at one corner of my boma one particularly dark night we were startled by a tremendous commotion in this shed but as this was before the man eaters were killed no one dared stir out to investigate the cause of the disturbance
Lab41-SRI-VOiCES-rm2-babb-sp8152-ch258993-sg0005-mc07-stu-beh-dg090, the demand of different families will be for much the same kinds of goods if there were no rich men the demand for vineyards producing fine wines would be less the very best qualities of goods take on the highest prices when there is a small but very wealthy class of purchasers
Lab41-SRI-VOiCES-rm1-none-sp2060-ch147963-sg0031-mc05-stu-far-dg090, at sight of it the crazy boy began to smack his lips when missus shimerda opened the bag and stirred the contents with her hand it gave out a salty earthy smell very pungent even among the other odors of that cave she measured a teacup full tied it up in a bit of sacking
Lab41-SRI-VOiCES-rm2-none-sp4331-ch057179-sg0024-mc01-stu-clo-dg090, that sir jeffrey had a wife and family she was all smiles and all pleasantness and seemed to want no other happiness than what the present moment gave her nor did she once mention lord rufford's name on the next morning after breakfast her aunt sent for her to come up stairs
Lab41-SRI-VOiCES-rm1-musi-sp0652-ch130726-sg0011-mc05-stu-far-dg090, the restaurants of the present day that approach nearest the old bohemian restaurants of pre fire days of the french class are jack's in sacramento street between montgomery and kearny felix in montgomery street between clay and washington and the poodle dog bergez franks in bush street between kearny and grant avenue
Lab41-SRI-VOiCES-rm1-tele-sp7868-ch246932-sg0004-mc03-stu-mid-dg090, but more air through the bars of its lungs i rose dressed and went out it was a still warm night no moon but plenty of star light the wind blowing as now gentle and sweet and cool
Lab41-SRI-VOiCES-rm1-musi-sp4859-ch022176-sg0005-mc05-stu-far-dg090, that princess mary was in moscow the death sufferings and last days of prince andrew had often occupied pierre's thoughts and now recurred to him with fresh vividness having heard at dinner that princess mary was in moscow and living in her house
